filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,Has_OMS,Metal 1,Percent 1,Metal 2,Percent 2,Hydrophobic / Hydrophilic
JAHNEM_clean,3.4986,2.66157,3.4824,1.71463,0,0,3.89606,2.27224,0.3386,0.197477,0,No,Mn,0.241584583,Cr,0.076215892,0
JASNEX_clean,3.25557,2.72372,3.23347,1.49567,0,0,0,0,0.4068,0.271985,0,Yes,Zn,0.091402209,Zn,0.091402209,0
JIXWUJ_clean,4.9428,3.96901,4.93448,1.63196,890.669,545.765,0,0,0.469,0.287384,0,No,Mn,0.189478062,Mn,0.189478062,0
JIXWUJ01_clean,4.91458,3.91959,4.91458,1.63925,888.533,542.037,0,0,0.4672,0.285009,0,No,Mn,0.189478062,Mn,0.189478062,0
JOGBIR_clean,4.99322,2.70306,4.97739,2.08868,0,0,249.795,119.595,0.4296,0.20568,0,Yes,Cu,0.150539685,Cu,0.150539685,0
jp102463p_si_002_clean,7.50467,7.0978,7.502,1.02131,1655.17,1620.62,0,0,0.6276,0.614502,0,No,Cr,0.112006923,Cr,0.112006923,0
jz4002345_si_006_clean,8.7001,4.17817,8.7001,1.56011,1731.24,1109.69,0,0,0.5976,0.383051,0.000256393,No,Hf,0.244768383,Hf,0.244768383,0
KAHNOX_clean,6.67271,5.40663,6.66794,1.08519,2578.11,2375.72,0,0,0.741,0.682828,0,Yes,Cu,0.335272815,Cu,0.335272815,0
KAVTUY_clean,5.22962,4.08985,5.19903,2.0701,676.869,326.975,0,0,0.424,0.204821,0,Yes,Cu,0.174986736,Cu,0.174986736,0
KECRAL10_clean,7.14324,5.71599,7.14324,1.04513,2666.2,2551.06,0,0,0.762,0.729094,0,Yes,Cd,0.341787777,Cd,0.341787777,0
KEYFIF_clean,5.39696,4.89319,5.39696,1.63233,462.233,283.174,0,0,0.406,0.248725,0,Yes,Cu,0.131999751,Cu,0.131999751,0
KEYFIF01_clean,5.32692,4.83323,5.32692,1.64244,442.085,269.163,0,0,0.4018,0.244636,0,Yes,Cu,0.131999751,Cu,0.131999751,0
KIPKIF_clean,10.444,10.34598,10.4273,1.11052,737.798,664.375,39.685,35.7356,0.5474,0.492924,0,Yes,Zn,0.096101411,Zn,0.096101411,0
KONSAJ_clean,18.94329,3.74567,18.94329,1.10475,1183.2,1071.01,0,0,0.647,0.585652,0,Yes,Fe,0.083467286,Cu,0.189954773,0
KOSLEL_clean,10.95857,9.85075,10.95857,1.20305,1607.72,1336.37,0,0,0.652,0.541956,0,Yes,Ni,0.188431025,Ni,0.188431025,0
KOSLIP_clean,11.047,9.74411,11.047,1.19777,1578.73,1318.05,0,0,0.6514,0.543843,0,Yes,Ni,0.188431025,Ni,0.188431025,0
KOSLOV_clean,11.06557,9.9584,11.06504,1.19415,1597.55,1337.81,0,0,0.6546,0.54817,0,Yes,Ni,0.188431025,Ni,0.188431025,0
KUXTUT_clean,3.38642,3.17952,3.38142,1.53494,0,0,8.72603,5.68495,0.3762,0.245092,0,Yes,Cu,0.084540658,Cu,0.084540658,0
la4012839_si_002_auto,13.36908,6.74856,13.36908,0.867921,2110.92,2432.16,0,0,0.7182,0.827495,0,Yes,Zn,0.160671981,Zn,0.160671981,0
LABJUV_clean,5.11712,3.55603,5.11324,2.35598,595.818,252.896,0,0,0.4426,0.187862,0,Yes,Cu,0.118670181,Cu,0.118670181,0
LAJDUV_charged,2.77965,2.59206,2.77831,1.60255,0,0,0,0,0.4198,0.261957,0,No,Ti,0.098922469,Ti,0.098922469,0
LAJDUV01_charged,2.79185,2.5501,2.78038,1.59892,0,0,0,0,0.4118,0.25755,0,No,Ti,0.098922469,Ti,0.098922469,0
LAJDUV02_charged,2.78649,2.56299,2.77216,1.60178,0,0,0,0,0.4106,0.25634,0,No,Ti,0.098922469,Ti,0.098922469,0
LAJDUV03_charged,2.79651,2.54844,2.78519,1.59533,0,0,0,0,0.412,0.258255,0,No,Ti,0.098922469,Ti,0.098922469,0
LALYOO_clean,4.21788,2.72095,4.21772,2.02581,0,0,89.8756,44.3653,0.3778,0.186493,0,No,Cd,0.177839863,Cd,0.177839863,0
LARVIL_clean,7.34441,7.09707,7.34441,2.2234,869.863,391.232,0,0,0.5432,0.244311,0,Yes,Cu,0.133210647,Cu,0.133210647,0
LAVTEJ01_clean,6.91632,6.54454,6.91632,1.65406,1510.11,912.977,0,0,0.5664,0.342431,0,No,Dy,0.21982214,Dy,0.21982214,0
LAWGEW_clean,15.06244,7.93691,15.06244,0.591684,2230.24,3769.3,0,0,0.803,1.35714,0,No,Zn,0.169847519,Zn,0.169847519,0
LAWGIA_clean,15.0745,7.93652,15.0745,0.590588,2230.11,3776.08,0,0,0.8028,1.35932,0,No,Zn,0.169847519,Zn,0.169847519,0
LAWGOG_clean,15.0805,7.93827,15.0805,0.589428,2230.89,3784.84,0,0,0.8032,1.36268,0,No,Zn,0.169847519,Zn,0.169847519,0
LAWGUM_clean,15.09972,7.93483,15.09787,0.58881,2231.62,3790.06,0,0,0.8032,1.36411,0,No,Zn,0.169847519,Zn,0.169847519,0
LAZXOB_clean,9.34691,6.36719,9.34691,1.04439,1784.83,1708.97,0,0,0.6322,0.605329,0,Yes,Cu,0.1455403,Cu,0.1455403,0
LECQEQ_clean,11.46886,10.71142,11.46806,1.1941,1557.1,1303.99,0,0,0.6466,0.541496,0,Yes,Ni,0.188431025,Ni,0.188431025,0
LEDNIT_charged,4.72844,4.15581,4.72844,2.17734,316.677,145.442,0,0,0.4404,0.202265,0,No,Tm,0.217500546,Tm,0.217500546,0
LEJBUX_clean,6.30676,4.81909,6.30369,1.04776,2668.26,2546.63,0,0,0.7428,0.70894,0,Yes,Cd,0.350291042,Cd,0.350291042,0
LELCUB_clean,3.69106,2.4447,3.67162,1.66561,0,0,12.7869,7.67698,0.444,0.266568,0,Yes,Cu,0.201524771,Cu,0.201524771,0
LELCUB01_clean,3.91077,2.46105,3.9055,1.68019,0,0,29.129,17.3367,0.4512,0.26854,0,Yes,Cu,0.201524771,Cu,0.201524771,0
LENKIA_clean,11.49386,10.72802,11.47361,1.31034,1534.89,1171.37,0,0,0.6288,0.479875,0,Yes,Cu,0.197845512,Cu,0.197845512,0
LETFEW_clean,5.62477,4.46247,5.62476,2.12439,866.774,408.011,0,0,0.4658,0.219263,0,Yes,Cu,0.277274899,Cu,0.277274899,0
LIHSEB_clean,2.9747,2.43536,2.9599,2.43454,0,0,0,0,0.4394,0.180486,0,No,Cd,0.202216379,Cd,0.202216379,0
LIQJEC_clean,8.59986,6.07561,8.59986,1.33584,1720.59,1288.03,0,0,0.6236,0.466823,0,No,Zn,0.061981794,Zn,0.061981794,0
LIVTEP_charged,4.29529,3.65537,4.29474,1.45498,707.948,486.568,0,0,0.4962,0.341035,0,No,Cu,0.08217208,Cu,0.08217208,0
LIWXIZ_clean,4.12479,3.66059,4.10123,1.63001,136.604,83.8054,0,0,0.3614,0.221716,0,Yes,Zn,0.090393762,Zn,0.090393762,0
